SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532178,ENGINRS.(I) ,A ,Q,153.00,154.65,151.60,152.25,152.25,153.85,305,37387,5718772.00,
532179,CORPN.BANK  ,A ,Q,29.00,29.00,28.00,28.05,28.00,28.85,88,14840,420730.00,
532180,DHANALAK.BNK,B ,Q,20.70,20.95,20.20,20.40,20.35,20.70,134,38584,789275.00,
532181,GUJ.MINERAL ,A ,Q,131.00,133.25,129.00,129.40,129.40,130.90,520,43809,5746926.00,
532183,GAYATRI SUGR,XT,Q,8.26,8.65,8.26,8.27,8.26,8.45,556,515682,4269316.00,
532187,INDUSIND BNK,A ,Q,1889.35,1918.00,1888.80,1914.45,1914.45,1894.15,905,15474,29532514.00,
532189,INDIA TOURIS,B ,Q,438.00,441.80,420.00,422.90,422.90,435.60,139,3065,1309384.00,
532209,J & K BANK  ,A ,Q,54.10,54.70,52.60,54.10,54.10,53.75,184,18526,993421.00,
532210,CITY UNION  ,A ,Q,187.05,192.00,185.25,186.90,185.55,187.50,277,172975,32835130.00,
532212,ARCHIES LTD ,T ,Q,33.20,33.95,32.75,32.75,33.00,34.40,83,17493,579095.00,
532215,AXIS BANK   ,A ,Q,552.00,558.70,548.25,552.25,552.25,553.20,2604,249658,137895627.00,
532218,SOUTH IND.BK,A ,Q,25.80,27.40,24.45,26.45,26.45,25.55,5714,3329901,87397043.00,
532219,ENERGY DEV. ,B ,Q,18.90,19.50,18.15,19.35,19.50,18.70,33,6161,117612.00,
532221,SONATA SOFT.,B ,Q,356.05,359.00,343.90,348.20,348.20,354.70,453,19666,6930831.00,
532230,BENGAL TEA &,X ,Q,50.30,55.35,50.30,55.35,55.35,52.75,3,401,20445.00,
532234,NAT.ALUM    ,A ,Q,77.80,78.25,75.05,75.40,75.40,77.80,1760,505755,38739873.00,
532240,INDIA NIPPON,B ,Q,553.10,557.00,541.00,545.70,545.95,553.10,157,3188,1741928.00,
532254,POLARIS     ,A ,Q,474.40,474.40,470.10,473.35,474.00,472.05,35,1171,551817.00,
532256,NALWA SONS  ,B ,Q,1238.10,1252.00,1235.00,1248.00,1248.00,1212.00,20,422,522870.00,
532259,APAR INDUS. ,B ,Q,783.70,783.70,761.05,763.85,763.85,785.05,18,440,336257.00,
532268,ACCELYA     ,B ,Q,1280.05,1324.45,1279.00,1313.40,1319.95,1282.40,46,246,317971.00,
532271,CYBERMATE   ,X ,Q,2.19,2.26,1.90,2.04,2.05,2.19,59,45921,94993.00,
532275,LANDMARC LEI,XT,Q,0.91,0.91,0.85,0.85,0.85,0.88,8,6261,5329.00,
532276,SYNDICATE BN,A ,Q,51.00,52.00,50.55,51.45,51.15,51.35,590,170096,8708072.00,
532281,HCL TECHNO  ,A ,Q,933.05,933.55,921.30,925.55,925.55,931.90,959,314796,291383295.00,
532282,CASTEXTECH  ,T ,Q,2.64,2.64,2.53,2.53,2.53,2.66,32,52987,134128.00,
532284,TCFC FINANCE,X ,Q,34.10,34.60,34.10,34.10,34.10,35.35,22,2021,69279.00,
532285,GEOJITFSL   ,B ,Q,103.30,103.90,97.50,97.95,98.05,103.90,245,25314,2522311.00,
532286,JINDAL STE  ,A ,Q,252.50,261.95,252.50,259.60,259.60,255.55,3298,518402,134237229.00,
532290,BLB LTD.    ,T ,Q,7.73,8.20,7.73,8.19,8.19,8.13,10,4250,34696.00,
532296,GLENMARK PHA,A ,Q,513.00,521.40,500.25,503.45,503.45,516.20,1532,30860,15745678.00,
532300,WOCKHARDT   ,A ,Q,715.00,736.90,703.10,716.85,716.85,714.75,5584,265688,191983742.00,
532301,TATA COFFEE ,B ,Q,123.00,123.00,118.60,119.30,119.20,120.30,587,45873,5489958.00,
532305,IND-SWIFT LA,B ,Q,65.00,65.00,62.75,63.00,63.00,64.05,9,4444,279984.00,
532309,GEPIL       ,B ,Q,900.05,900.05,885.25,890.00,890.00,903.50,14,416,371208.00,
532310,SHREE RAMA  ,B ,Q,13.16,13.55,13.12,13.12,13.12,13.81,40,10749,141648.00,
532313,MAHINDRALIFE,A ,Q,513.00,546.80,504.45,513.40,513.40,519.10,1500,24227,12760454.00,
532318,GEMINI COMMU,T ,Q,0.94,0.94,0.90,0.90,0.90,0.94,3,2559,2303.00,
532321,CADILA HEALT,A ,Q,394.00,397.65,391.30,392.40,392.40,392.90,1019,37429,14758047.00,
532323,SHIVA CEMENT,X ,Q,26.85,27.00,25.95,26.25,26.25,26.85,497,214699,5621132.00,
532324,CINEVISTA   ,B ,Q,8.69,8.69,7.20,7.55,7.55,7.99,22,4933,35937.00,
532326,INTENS TECH ,B ,Q,74.00,74.00,69.70,70.00,70.00,71.50,14,2146,151041.00,
532329,DANLAW TECH.,X ,Q,85.00,85.00,80.00,80.90,80.90,82.95,20,1940,158978.00,
532330,BIOPAC INDIA,X ,Q,16.65,16.75,16.10,16.10,16.50,16.10,29,5820,95454.00,
532331,AJANTA PHARM,A ,Q,1059.40,1095.00,1051.15,1065.10,1069.75,1059.40,1738,36863,39259841.00,
532336,BARON INFO. ,XT,Q,0.22,0.22,0.22,0.22,0.22,0.23,1,100,22.00,
532339,COMPUCOM SOF,B ,Q,12.65,12.65,12.12,12.20,12.35,12.45,34,11200,137773.00,
532340,OMNI AX'S SO,XT,Q,3.22,3.22,2.93,2.93,2.93,3.08,3,1262,3773.00,
532341,IZMO        ,B ,Q,104.00,104.20,99.05,99.60,100.30,102.45,168,12024,1212761.00,
532342,COMMEX TECH ,XT,Q,0.59,0.59,0.57,0.59,0.59,0.59,12,9675,5707.00,
532343,TVS MOTOR L ,A ,Q,628.55,631.25,617.60,619.55,619.50,624.40,1379,82154,51264162.00,
532345,GATI LTD.   ,A ,Q,110.00,115.00,108.00,108.70,108.70,110.30,1759,164090,18250830.00,
532348,SUBEX LTX   ,B ,Q,6.70,6.75,6.60,6.62,6.62,6.70,185,257482,1705211.00,
532349,TRANSPORT CO,B ,Q,278.15,287.50,270.00,273.55,273.75,275.20,195,4404,1218558.00,
532350,PADMALAYA TE,XT,Q,3.40,3.72,3.40,3.68,3.68,3.55,26,6138,21641.00,
532351,AKSH OPTIFIB,B ,Q,33.75,34.05,33.00,33.15,33.15,34.10,275,175335,5865710.00,
532354,VIRGOGLOB   ,XT,Q,0.29,0.29,0.29,0.29,0.29,0.30,2,5000,1450.00,
532355,PICTURHOUSE ,X ,Q,3.20,3.20,2.90,2.90,2.90,3.00,14,7426,23078.00,
532356,TRIVENI ENGG,B ,Q,37.50,38.20,35.10,37.20,37.85,37.90,170,23832,898843.00,
532357,MUKTA ARTS  ,B ,Q,65.00,66.50,63.05,64.05,63.90,64.15,86,3807,245976.00,
532362,NAGPUR POWER,X ,Q,39.80,39.80,39.80,39.80,39.80,36.00,1,1,39.00,
532365,DYNACONS SYS,B ,Q,37.30,39.65,35.75,35.95,35.75,37.75,33,5197,190976.00,
532366,PNB GILTS   ,B ,Q,34.45,34.50,34.10,34.20,34.20,34.25,43,5613,192224.00,
532368,YBRANTDIGI  ,B ,Q,4.95,4.95,4.95,4.95,4.95,4.72,82,330617,1636554.00,
532369,RAMCO INDS. ,B ,Q,261.00,261.00,254.00,255.75,255.00,261.65,167,7473,1920557.00,
532370,RAMCO  SYSTM,B ,Q,445.55,449.90,428.00,430.80,428.00,444.90,127,3034,1320431.00,
532371,TATA TELESER,B ,Q,5.15,5.27,5.15,5.16,5.15,5.27,203,151042,782672.00,
532372,VIRINCHI    ,X ,Q,118.65,126.50,118.65,119.95,120.75,118.65,592,89257,10898474.00,
532373,WEPSOLN     ,X ,Q,40.40,42.75,40.40,40.90,40.90,41.20,10,2459,100297.00,
532374,STER TECH   ,A ,Q,324.20,327.40,317.70,319.10,320.45,324.20,1298,88284,28344381.00,
532375,TIPSINDUSTR ,B ,Q,122.00,124.00,118.05,118.20,118.20,123.00,32,5688,693744.00,
532376,MRO-TEK     ,T ,Q,22.25,23.15,22.25,23.00,23.00,22.25,7,850,19160.00,
532379,FIRSTOBJ    ,XT,Q,15.44,15.44,15.44,15.44,15.44,16.25,2,650,10036.00,
532380,BABA ARTS   ,XT,Q,3.10,3.10,3.00,3.00,3.00,3.00,8,8525,25610.00,
532382,BALAJI TELE.,B ,Q,127.95,128.45,126.20,127.20,127.20,128.70,159,13452,1715345.00,
532384,TYCHE INDS  ,X ,Q,101.05,102.00,100.10,100.25,100.15,101.55,17,1457,147115.00,
